id,title,actors,director,genres,keywords,soup
24428,The Avengers,"['robertdowneyjr.', 'chrisevans', 'markruffalo']",josswhedon,"['sciencefiction', 'action', 'adventure']","['newyork', 'shield', 'marvelcomic']",robertdowneyjr. chrisevans markruffalo sciencefiction action adventure newyork shield marvelcomic josswhedon
1865,Pirates of the Caribbean: On Stranger Tides,"['johnnydepp', 'penélopecruz', 'ianmcshane']",robmarshall,"['adventure', 'action', 'fantasy']","['sea', 'captain', 'mutiny']",johnnydepp penélopecruz ianmcshane adventure action fantasy sea captain mutiny robmarshall
41154,Men in Black 3,"['willsmith', 'tommyleejones', 'joshbrolin']",barrysonnenfeld,"['action', 'comedy', 'sciencefiction']","['timetravel', 'timemachine', 'alien']",willsmith tommyleejones joshbrolin action comedy sciencefiction timetravel timemachine alien barrysonnenfeld
122917,The Hobbit: The Battle of the Five Armies,"['martinfreeman', 'ianmckellen', 'richardarmitage']",peterjackson,"['action', 'adventure', 'fantasy']","['corruption', 'elves', 'dwarves']",martinfreeman ianmckellen richardarmitage action adventure fantasy corruption elves dwarves peterjackson
1930,The Amazing Spider-Man,"['andrewgarfield', 'emmastone', 'rhysifans']",marcwebb,"['action', 'adventure', 'fantasy']","['lossoffather', 'vigilante', 'serum']",andrewgarfield emmastone rhysifans action adventure fantasy lossoffather vigilante serum marcwebb
20662,Robin Hood,"['russellcrowe', 'cateblanchett', 'maxvonsydow']",ridleyscott,"['action', 'adventure']","['robinhood', 'archer', 'knight']",russellcrowe cateblanchett maxvonsydow action adventure robinhood archer knight ridleyscott
57158,The Hobbit: The Desolation of Smaug,"['martinfreeman', 'ianmckellen', 'richardarmitage']",peterjackson,"['adventure', 'fantasy']","['elves', 'dwarves', 'orcs']",martinfreeman ianmckellen richardarmitage adventure fantasy elves dwarves orcs peterjackson
2268,The Golden Compass,"['dakotabluerichards', 'nicolekidman', 'danielcraig']",chrisweitz,"['adventure', 'fantasy']","['england', 'compass', 'experiment']",dakotabluerichards nicolekidman danielcraig adventure fantasy england compass experiment chrisweitz
254,King Kong,"['naomiwatts', 'jackblack', 'adrienbrody']",peterjackson,"['adventure', 'drama', 'action']","['filmbusiness', 'screenplay', 'showbusiness']",naomiwatts jackblack adrienbrody adventure drama action filmbusiness screenplay showbusiness peterjackson
597,Titanic,"['katewinslet', 'leonardodicaprio', 'francesfisher']",jamescameron,"['drama', 'romance', 'thriller']","['shipwreck', 'iceberg', 'ship']",katewinslet leonardodicaprio francesfisher drama romance thriller shipwreck iceberg ship jamescameron
271110,Captain America: Civil War,"['chrisevans', 'robertdowneyjr.', 'scarlettjohansson']",anthonyrusso,"['adventure', 'action', 'sciencefiction']","['civilwar', 'war', 'marvelcomic']",chrisevans robertdowneyjr. scarlettjohansson adventure action sciencefiction civilwar war marvelcomic anthonyrusso
44833,Battleship,"['taylorkitsch', 'alexanderskarsgård', 'rihanna']",peterberg,"['thriller', 'action', 'adventure']","['fight', 'u.s.navy', 'mindreading']",taylorkitsch alexanderskarsgård rihanna thriller action adventure fight u.s.navy mindreading peterberg
135397,Jurassic World,"['chrispratt', 'brycedallashoward', 'irrfankhan']",colintrevorrow,"['action', 'adventure', 'sciencefiction']","['monster', 'dna', 'tyrannosaurusrex']",chrispratt brycedallashoward irrfankhan action adventure sciencefiction monster dna tyrannosaurusrex colintrevorrow
37724,Skyfall,"['danielcraig', 'judidench', 'javierbardem']",sammendes,"['action', 'adventure', 'thriller']","['spy', 'secretagent', 'sociopath']",danielcraig judidench javierbardem action adventure thriller spy secretagent sociopath sammendes
558,Spider-Man 2,"['tobeymaguire', 'kirstendunst', 'jamesfranco']",samraimi,"['action', 'adventure', 'fantasy']","['dualidentity', ""loveofone'slife"", 'pizzaboy']",tobeymaguire kirstendunst jamesfranco action adventure fantasy dualidentity loveofone'slife pizzaboy samraimi
68721,Iron Man 3,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle']",shaneblack,"['action', 'adventure', 'sciencefiction']","['terrorist', 'waronterror', 'tennessee']",robertdowneyjr. gwynethpaltrow doncheadle action adventure sciencefiction terrorist waronterror tennessee shaneblack
12155,Alice in Wonderland,"['miawasikowska', 'johnnydepp', 'annehathaway']",timburton,"['family', 'fantasy', 'adventure']","['basedonnovel', 'fictionalplace', 'queen']",miawasikowska johnnydepp annehathaway family fantasy adventure basedonnovel fictionalplace queen timburton
36668,X-Men: The Last Stand,"['hughjackman', 'halleberry', 'ianmckellen']",brettratner,"['adventure', 'action', 'sciencefiction']","['mutant', 'marvelcomic', 'basedoncomicbook']",hughjackman halleberry ianmckellen adventure action sciencefiction mutant marvelcomic basedoncomicbook brettratner
62211,Monsters University,"['billycrystal', 'johngoodman', 'stevebuscemi']",danscanlon,"['animation', 'family']","['monster', 'dormitory', 'games']",billycrystal johngoodman stevebuscemi animation family monster dormitory games danscanlon
8373,Transformers: Revenge of the Fallen,"['shialabeouf', 'meganfox', 'joshduhamel']",michaelbay,"['sciencefiction', 'action', 'adventure']","['egypt', 'sun', 'chaos']",shialabeouf meganfox joshduhamel sciencefiction action adventure egypt sun chaos michaelbay
91314,Transformers: Age of Extinction,"['markwahlberg', 'stanleytucci', 'kelseygrammer']",michaelbay,"['sciencefiction', 'action', 'adventure']","['sequel', 'alien', 'transformers']",markwahlberg stanleytucci kelseygrammer sciencefiction action adventure sequel alien transformers michaelbay
68728,Oz: The Great and Powerful,"['jamesfranco', 'milakunis', 'rachelweisz']",samraimi,"['fantasy', 'adventure', 'family']","['circus', 'witch', 'magic']",jamesfranco milakunis rachelweisz fantasy adventure family circus witch magic samraimi
102382,The Amazing Spider-Man 2,"['andrewgarfield', 'emmastone', 'jamiefoxx']",marcwebb,"['action', 'adventure', 'fantasy']","['obsession', 'marvelcomic', 'sequel']",andrewgarfield emmastone jamiefoxx action adventure fantasy obsession marvelcomic sequel marcwebb
20526,TRON: Legacy,"['garretthedlund', 'jeffbridges', 'oliviawilde']",josephkosinski,"['adventure', 'action', 'sciencefiction']","['artificialintelligence', 'secretidentity', 'computerprogram']",garretthedlund jeffbridges oliviawilde adventure action sciencefiction artificialintelligence secretidentity computerprogram josephkosinski
49013,Cars 2,"['owenwilson', 'larrythecableguy', 'michaelcaine']",johnlasseter,"['animation', 'family', 'adventure']","['carrace', 'sequel', 'comedy']",owenwilson larrythecableguy michaelcaine animation family adventure carrace sequel comedy johnlasseter
44912,Green Lantern,"['ryanreynolds', 'blakelively', 'petersarsgaard']",martincampbell,"['adventure', 'action', 'thriller']","['dccomics', 'transformation', 'superhero']",ryanreynolds blakelively petersarsgaard adventure action thriller dccomics transformation superhero martincampbell
10193,Toy Story 3,"['tomhanks', 'timallen', 'nedbeatty']",leeunkrich,"['animation', 'family', 'comedy']","['hostage', 'college', 'toy']",tomhanks timallen nedbeatty animation family comedy hostage college toy leeunkrich
534,Terminator Salvation,"['christianbale', 'samworthington', 'antonyelchin']",mcg,"['action', 'sciencefiction', 'thriller']","['savingtheworld', 'artificialintelligence', 'prophecy']",christianbale samworthington antonyelchin action sciencefiction thriller savingtheworld artificialintelligence prophecy mcg
168259,Furious 7,"['vindiesel', 'paulwalker', 'dwaynejohnson']",jameswan,['action'],"['carrace', 'speed', 'revenge']",vindiesel paulwalker dwaynejohnson action carrace speed revenge jameswan
72190,World War Z,"['bradpitt', 'mireilleenos', 'abigailhargrove']",marcforster,"['action', 'drama', 'horror']","['dystopia', 'apocalypse', 'zombie']",bradpitt mireilleenos abigailhargrove action drama horror dystopia apocalypse zombie marcforster
127585,X-Men: Days of Future Past,"['hughjackman', 'jamesmcavoy', 'michaelfassbender']",bryansinger,"['action', 'adventure', 'fantasy']","['1970s', 'mutant', 'timetravel']",hughjackman jamesmcavoy michaelfassbender action adventure fantasy 1970s mutant timetravel bryansinger
54138,Star Trek Into Darkness,"['chrispine', 'zacharyquinto', 'zoesaldana']",j.j.abrams,"['action', 'adventure', 'sciencefiction']","['spacecraft', 'friendship', 'sequel']",chrispine zacharyquinto zoesaldana action adventure sciencefiction spacecraft friendship sequel j.j.abrams
81005,Jack the Giant Slayer,"['nicholashoult', 'eleanortomlinson', 'ewanmcgregor']",bryansinger,"['action', 'family', 'fantasy']","['basedonfairytale', 'giant']",nicholashoult eleanortomlinson ewanmcgregor action family fantasy basedonfairytale giant bryansinger
64682,The Great Gatsby,"['leonardodicaprio', 'tobeymaguire', 'careymulligan']",bazluhrmann,"['drama', 'romance']","['basedonnovel', 'infidelity', 'obsession']",leonardodicaprio tobeymaguire careymulligan drama romance basedonnovel infidelity obsession bazluhrmann
9543,Prince of Persia: The Sands of Time,"['jakegyllenhaal', 'gemmaarterton', 'benkingsley']",mikenewell,"['adventure', 'fantasy', 'action']","['persia', 'sandstorm', 'brotheragainstbrother']",jakegyllenhaal gemmaarterton benkingsley adventure fantasy action persia sandstorm brotheragainstbrother mikenewell
68726,Pacific Rim,"['idriselba', 'charliehunnam', 'charlieday']",guillermodeltoro,"['action', 'sciencefiction', 'adventure']","['dystopia', 'giantrobot', 'giantmonster']",idriselba charliehunnam charlieday action sciencefiction adventure dystopia giantrobot giantmonster guillermodeltoro
38356,Transformers: Dark of the Moon,"['shialabeouf', 'johnmalkovich', 'kenjeong']",michaelbay,"['action', 'sciencefiction', 'adventure']","['moon', 'spacecraft', 'traitor']",shialabeouf johnmalkovich kenjeong action sciencefiction adventure moon spacecraft traitor michaelbay
217,Indiana Jones and the Kingdom of the Crystal Skull,"['harrisonford', 'cateblanchett', 'shialabeouf']",stevenspielberg,"['adventure', 'action']","['savingtheworld', 'riddle', 'whip']",harrisonford cateblanchett shialabeouf adventure action savingtheworld riddle whip stevenspielberg
105864,The Good Dinosaur,"['raymondochoa', 'jackbright', 'jeffreywright']",petersohn,"['adventure', 'animation', 'family']","['tyrannosaurusrex', 'friends', 'alternatehistory']",raymondochoa jackbright jeffreywright adventure animation family tyrannosaurusrex friends alternatehistory petersohn
62177,Brave,"['kellymacdonald', 'juliewalters', 'billyconnolly']",brendachapman,"['animation', 'adventure', 'comedy']","['scotland', 'rebel', 'bravery']",kellymacdonald juliewalters billyconnolly animation adventure comedy scotland rebel bravery brendachapman
188927,Star Trek Beyond,"['chrispine', 'zacharyquinto', 'karlurban']",justinlin,"['action', 'adventure', 'sciencefiction']","['sequel', 'stranded', 'hatred']",chrispine zacharyquinto karlurban action adventure sciencefiction sequel stranded hatred justinlin
10681,WALL·E,"['benburtt', 'elissaknight', 'jeffgarlin']",andrewstanton,"['animation', 'family']",['romanticcomedy'],benburtt elissaknight jeffgarlin animation family romanticcomedy andrewstanton
5174,Rush Hour 3,"['christucker', 'jackiechan', 'hiroyukisanada']",brettratner,"['action', 'comedy', 'crime']",['ambassador'],christucker jackiechan hiroyukisanada action comedy crime ambassador brettratner
14161,2012,"['johncusack', 'amandapeet', 'chiwetelejiofor']",rolandemmerich,"['action', 'adventure', 'sciencefiction']","['civilization', 'naturaldisaster', 'endoftheworld']",johncusack amandapeet chiwetelejiofor action adventure sciencefiction civilization naturaldisaster endoftheworld rolandemmerich
17979,A Christmas Carol,"['garyoldman', 'jimcarrey', 'stevevalentine']",robertzemeckis,"['animation', 'drama']","['holiday', 'basedonnovel', 'victorianengland']",garyoldman jimcarrey stevevalentine animation drama holiday basedonnovel victorianengland robertzemeckis
76757,Jupiter Ascending,"['milakunis', 'channingtatum', 'seanbean']",lillywachowski,"['sciencefiction', 'fantasy', 'action']","['jupiter', 'space', 'womandirector']",milakunis channingtatum seanbean sciencefiction fantasy action jupiter space womandirector lillywachowski
258489,The Legend of Tarzan,"['alexanderskarsgård', 'margotrobbie', 'christophwaltz']",davidyates,"['action', 'adventure']","['africa', 'feralchild', 'tarzan']",alexanderskarsgård margotrobbie christophwaltz action adventure africa feralchild tarzan davidyates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['williammoseley', 'annapopplewell', 'skandarkeynes']",andrewadamson,"['adventure', 'family', 'fantasy']","['savingtheworld', 'witch', 'basedonnovel']",williammoseley annapopplewell skandarkeynes adventure family fantasy savingtheworld witch basedonnovel andrewadamson
246655,X-Men: Apocalypse,"['jamesmcavoy', 'michaelfassbender', 'jenniferlawrence']",bryansinger,['sciencefiction'],"['mutant', 'supernaturalpowers', 'marvelcomic']",jamesmcavoy michaelfassbender jenniferlawrence sciencefiction mutant supernaturalpowers marvelcomic bryansinger
155,The Dark Knight,"['christianbale', 'heathledger', 'aaroneckhart']",christophernolan,"['drama', 'action', 'crime']","['dccomics', 'crimefighter', 'secretidentity']",christianbale heathledger aaroneckhart drama action crime dccomics crimefighter secretidentity christophernolan
14160,Up,"['edasner', 'christopherplummer', 'jordannagai']",petedocter,"['animation', 'comedy', 'family']","['agedifference', 'centralandsouthamerica', 'balloon']",edasner christopherplummer jordannagai animation comedy family agedifference centralandsouthamerica balloon petedocter
15512,Monsters vs Aliens,"['sethrogen', 'reesewitherspoon', 'hughlaurie']",conradvernon,"['animation', 'family', 'adventure']","['alien', 'giantrobot', 'duringcreditsstinger']",sethrogen reesewitherspoon hughlaurie animation family adventure alien giantrobot duringcreditsstinger conradvernon
1726,Iron Man,"['robertdowneyjr.', 'terrencehoward', 'jeffbridges']",jonfavreau,"['action', 'sciencefiction', 'adventure']","['middleeast', 'armsdealer', 'malibu']",robertdowneyjr. terrencehoward jeffbridges action sciencefiction adventure middleeast armsdealer malibu jonfavreau
44826,Hugo,"['benkingsley', 'sachabaroncohen', 'asabutterfield']",martinscorsese,"['adventure', 'drama', 'family']","['library', 'clock', 'filmdirector']",benkingsley sachabaroncohen asabutterfield adventure drama family library clock filmdirector martinscorsese
8487,Wild Wild West,"['willsmith', 'kevinkline', 'kennethbranagh']",barrysonnenfeld,"['action', 'adventure', 'comedy']","['steampunk', 'basedontvseries', 'steamlocomotive']",willsmith kevinkline kennethbranagh action adventure comedy steampunk basedontvseries steamlocomotive barrysonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,"['brendanfraser', 'jetli', 'johnhannah']",robcohen,"['adventure', 'action', 'fantasy']",[],brendanfraser jetli johnhannah adventure action fantasy  robcohen
297761,Suicide Squad,"['willsmith', 'margotrobbie', 'joelkinnaman']",davidayer,"['action', 'adventure', 'crime']","['dccomics', 'shareduniverse', 'antihero']",willsmith margotrobbie joelkinnaman action adventure crime dccomics shareduniverse antihero davidayer
2698,Evan Almighty,"['stevecarell', 'laurengraham', 'johngoodman']",tomshadyac,"['fantasy', 'comedy', 'family']","['fathersonrelationship', 'dailylife', 'marriedcouple']",stevecarell laurengraham johngoodman fantasy comedy family fathersonrelationship dailylife marriedcouple tomshadyac
137113,Edge of Tomorrow,"['tomcruise', 'emilyblunt', 'brendangleeson']",dougliman,"['action', 'sciencefiction']","['dejavu', 'timewarp', 'restart']",tomcruise emilyblunt brendangleeson action sciencefiction dejavu timewarp restart dougliman
9804,Waterworld,"['kevincostner', 'chaimgirafi', 'rickaviles']",kevinreynolds,"['adventure', 'action']","['ocean', 'tattoo', 'mutant']",kevincostner chaimgirafi rickaviles adventure action ocean tattoo mutant kevinreynolds
14869,G.I. Joe: The Rise of Cobra,"['dennisquaid', 'channingtatum', 'marlonwayans']",stephensommers,"['adventure', 'action', 'thriller']","['terrorist', 'secret', 'hostage']",dennisquaid channingtatum marlonwayans adventure action thriller terrorist secret hostage stephensommers
150540,Inside Out,"['amypoehler', 'phyllissmith', 'richardkind']",petedocter,"['drama', 'comedy', 'animation']","['dream', 'cartoon', 'imaginaryfriend']",amypoehler phyllissmith richardkind drama comedy animation dream cartoon imaginaryfriend petedocter
278927,The Jungle Book,"['neelsethi', 'billmurray', 'benkingsley']",jonfavreau,"['family', 'adventure', 'drama']","['basedonnovel', 'snake', 'wolf']",neelsethi billmurray benkingsley family adventure drama basedonnovel snake wolf jonfavreau
10138,Iron Man 2,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle']",jonfavreau,"['adventure', 'action', 'sciencefiction']","['malibu', 'marvelcomic', 'superhero']",robertdowneyjr. gwynethpaltrow doncheadle adventure action sciencefiction malibu marvelcomic superhero jonfavreau
58595,Snow White and the Huntsman,"['kristenstewart', 'charlizetheron', 'chrishemsworth']",rupertsanders,"['adventure', 'fantasy', 'drama']","['queen', 'magic', 'fairytale']",kristenstewart charlizetheron chrishemsworth adventure fantasy drama queen magic fairytale rupertsanders
102651,Maleficent,"['angelinajolie', 'ellefanning', 'sharltocopley']",robertstromberg,"['fantasy', 'adventure', 'action']","['fairytale', 'villain', 'sleepingbeauty']",angelinajolie ellefanning sharltocopley fantasy adventure action fairytale villain sleepingbeauty robertstromberg
119450,Dawn of the Planet of the Apes,"['andyserkis', 'jasonclarke', 'garyoldman']",mattreeves,"['sciencefiction', 'action', 'drama']","['leader', 'colony', 'post-apocalyptic']",andyserkis jasonclarke garyoldman sciencefiction action drama leader colony post-apocalyptic mattreeves
79698,The Lovers,"['joshhartnett', 'simonekessell', 'tamsinegerton']",rolandjoffé,"['action', 'adventure', 'sciencefiction']",[],joshhartnett simonekessell tamsinegerton action adventure sciencefiction  rolandjoffé
64686,47 Ronin,"['keanureeves', 'hiroyukisanada', 'koushibasaki']",carlrinsch,"['drama', 'action', 'adventure']","['japan', 'suicide', 'samurai']",keanureeves hiroyukisanada koushibasaki drama action adventure japan suicide samurai carlrinsch
100402,Captain America: The Winter Soldier,"['chrisevans', 'samuell.jackson', 'scarlettjohansson']",anthonyrusso,"['action', 'adventure', 'sciencefiction']","['washingtond.c.', 'future', 'shield']",chrisevans samuell.jackson scarlettjohansson action adventure sciencefiction washingtond.c. future shield anthonyrusso
10192,Shrek Forever After,"['mikemyers', 'eddiemurphy', 'camerondiaz']",mikemitchell,"['comedy', 'adventure', 'fantasy']","['ogre', '3d']",mikemyers eddiemurphy camerondiaz comedy adventure fantasy ogre 3d mikemitchell
158852,Tomorrowland,"['brittrobertson', 'georgeclooney', 'raffeycassidy']",bradbird,"['adventure', 'family', 'mystery']","['inventor', 'apocalypse', 'destiny']",brittrobertson georgeclooney raffeycassidy adventure family mystery inventor apocalypse destiny bradbird
177572,Big Hero 6,"['scottadsit', 'ryanpotter', 'danielhenney']",chriswilliams,"['adventure', 'family', 'animation']","['brotherbrotherrelationship', 'hero', 'talent']",scottadsit ryanpotter danielhenney adventure family animation brotherbrotherrelationship hero talent chriswilliams
82690,Wreck-It Ralph,"['johnc.reilly', 'sarahsilverman', 'jackmcbrayer']",richmoore,"['family', 'animation', 'comedy']","['supportgroup', 'productplacement', 'bullying']",johnc.reilly sarahsilverman jackmcbrayer family animation comedy supportgroup productplacement bullying richmoore
5255,The Polar Express,"['tomhanks', 'michaeljeter', 'nonagaye']",robertzemeckis,"['adventure', 'animation', 'family']","['santaclaus', 'nerd', 'faith']",tomhanks michaeljeter nonagaye adventure animation family santaclaus nerd faith robertzemeckis
47933,Independence Day: Resurgence,"['liamhemsworth', 'jeffgoldblum', 'billpullman']",rolandemmerich,"['action', 'adventure', 'sciencefiction']","['alternatehistory', 'alieninvasion']",liamhemsworth jeffgoldblum billpullman action adventure sciencefiction alternatehistory alieninvasion rolandemmerich
10191,How to Train Your Dragon,"['jaybaruchel', 'gerardbutler', 'craigferguson']",chrissanders,"['fantasy', 'adventure', 'animation']","['flying', 'blacksmith', 'arena']",jaybaruchel gerardbutler craigferguson fantasy adventure animation flying blacksmith arena chrissanders
296,Terminator 3: Rise of the Machines,"['arnoldschwarzenegger', 'nickstahl', 'clairedanes']",jonathanmostow,"['action', 'thriller', 'sciencefiction']","['savingtheworld', 'artificialintelligence', 'manvsmachine']",arnoldschwarzenegger nickstahl clairedanes action thriller sciencefiction savingtheworld artificialintelligence manvsmachine jonathanmostow
118340,Guardians of the Galaxy,"['chrispratt', 'zoesaldana', 'davebautista']",jamesgunn,"['action', 'sciencefiction', 'adventure']","['marvelcomic', 'spaceship', 'space']",chrispratt zoesaldana davebautista action sciencefiction adventure marvelcomic spaceship space jamesgunn
157336,Interstellar,"['matthewmcconaughey', 'jessicachastain', 'annehathaway']",christophernolan,"['adventure', 'drama', 'sciencefiction']","['savingtheworld', 'artificialintelligence', 'fathersonrelationship']",matthewmcconaughey jessicachastain annehathaway adventure drama sciencefiction savingtheworld artificialintelligence fathersonrelationship christophernolan
27205,Inception,"['leonardodicaprio', 'josephgordon-levitt', 'ellenpage']",christophernolan,"['action', 'thriller', 'sciencefiction']","['lossoflover', 'dream', 'kidnapping']",leonardodicaprio josephgordon-levitt ellenpage action thriller sciencefiction lossoflover dream kidnapping christophernolan
315011,Shin Godzilla,"['hirokihasegawa', 'yutakatakenouchi', 'satomiishihara']",hideakianno,"['action', 'adventure', 'drama']","['monster', 'godzilla', 'giantmonster']",hirokihasegawa yutakatakenouchi satomiishihara action adventure drama monster godzilla giantmonster hideakianno
49051,The Hobbit: An Unexpected Journey,"['ianmckellen', 'martinfreeman', 'richardarmitage']",peterjackson,"['adventure', 'fantasy', 'action']","['riddle', 'elves', 'dwarves']",ianmckellen martinfreeman richardarmitage adventure fantasy action riddle elves dwarves peterjackson
9799,The Fast and the Furious,"['paulwalker', 'vindiesel', 'michellerodriguez']",robcohen,"['action', 'crime', 'thriller']","['streetgang', 'carrace', 'undercover']",paulwalker vindiesel michellerodriguez action crime thriller streetgang carrace undercover robcohen
4922,The Curious Case of Benjamin Button,"['cateblanchett', 'bradpitt', 'tildaswinton']",davidfincher,"['fantasy', 'drama', 'thriller']","['diary', 'navy', 'funeral']",cateblanchett bradpitt tildaswinton fantasy drama thriller diary navy funeral davidfincher
49538,X-Men: First Class,"['jamesmcavoy', 'michaelfassbender', 'jenniferlawrence']",matthewvaughn,"['action', 'sciencefiction', 'adventure']","['cia', 'mutant', 'mine']",jamesmcavoy michaelfassbender jenniferlawrence action sciencefiction adventure cia mutant mine matthewvaughn
131634,The Hunger Games: Mockingjay - Part 2,"['jenniferlawrence', 'joshhutcherson', 'liamhemsworth']",francislawrence,"['action', 'adventure', 'sciencefiction']","['revolution', 'strongwoman', 'dystopia']",jenniferlawrence joshhutcherson liamhemsworth action adventure sciencefiction revolution strongwoman dystopia francislawrence
27022,The Sorcerer's Apprentice,"['nicolascage', 'jaybaruchel', 'monicabellucci']",jonturteltaub,"['fantasy', 'adventure', 'action']","['witch', 'fire', 'wolf']",nicolascage jaybaruchel monicabellucci fantasy adventure action witch fire wolf jonturteltaub
503,Poseidon,"['kurtrussell', 'richarddreyfuss', 'joshlucas']",wolfgangpetersen,"['adventure', 'action', 'drama']","[""newyear'seve"", 'fire', 'drowning']",kurtrussell richarddreyfuss joshlucas adventure action drama newyear'seve fire drowning wolfgangpetersen
241259,Alice Through the Looking Glass,"['johnnydepp', 'miawasikowska', 'annehathaway']",jamesbobin,['fantasy'],"['basedonnovel', 'clock', 'queen']",johnnydepp miawasikowska annehathaway fantasy basedonnovel clock queen jamesbobin
810,Shrek the Third,"['mikemyers', 'eddiemurphy', 'camerondiaz']",chrismiller,"['fantasy', 'adventure', 'animation']","['ambush', 'sadness', 'stage']",mikemyers eddiemurphy camerondiaz fantasy adventure animation ambush sadness stage chrismiller
68735,Warcraft,"['paulapatton', 'travisfimmel', 'benfoster']",duncanjones,"['action', 'adventure', 'fantasy']","['videogame', 'elves', 'orcs']",paulapatton travisfimmel benfoster action adventure fantasy videogame elves orcs duncanjones
87101,Terminator Genisys,"['arnoldschwarzenegger', 'jasonclarke', 'emiliaclarke']",alantaylor,"['sciencefiction', 'action', 'thriller']","['savingtheworld', 'artificialintelligence', 'cyborg']",arnoldschwarzenegger jasonclarke emiliaclarke sciencefiction action thriller savingtheworld artificialintelligence cyborg alantaylor
